state,metric,stand_size_class,estimate,se,se_percent,plot_count,report_years
OR,sawlog,Small diameter,5379647943.646166,347077893.0266587,6.451684137371629,746,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,sawlog,Nonstocked,805426727.9790847,164555261.23036382,20.430817045673827,159,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,area,Large diameter,21184456.041485418,160773.02816859257,0.7589197846465896,8528,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,area,Medium diameter,2751199.4175553885,99260.38623406236,3.6078950002926864,1215,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,area,Small diameter,4411456.472858661,120729.42423057744,2.7367248203254686,1615,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,area,Nonstocked,1433515.2465558993,71715.41926178776,5.002766411734236,598,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
PA,volume,Large diameter,49596779947.06554,711226390.3719821,1.434017271143553,2247,2019;2020;2021;2022;2023;2024;2025
PA,volume,Medium diameter,5880812584.58987,286429884.9644684,4.870583458398787,542,2019;2020;2021;2022;2023;2024;2025
PA,volume,Small diameter,621282085.8555745,57275506.05789991,9.2189212214328,228,2019;2020;2021;2022;2023;2024;2025
PA,volume,Nonstocked,15015150.79428816,4239374.915206577,28.23398161821496,17,2019;2020;2021;2022;2023;2024;2025
PA,mortality,Large diameter,622183149.1896498,21078047.577813696,3.3877560980663626,1541,2019;2020;2021;2022;2023;2024;2025
PA,mortality,Medium diameter,83685303.49216302,7437853.589394037,8.887885063463477,344,2019;2020;2021;2022;2023;2024;2025
PA,mortality,Small diameter,21451068.02648488,4158063.985888736,19.38394853232912,62,2019;2020;2021;2022;2023;2024;2025
PA,mortality,Nonstocked,2445527.5713661527,1652054.6194651737,67.554119561297,5,2019;2020;2021;2022;2023;2024;2025
PA,biomass,Large diameter,1108105196.5995674,15553826.096459264,1.4036416528132123,2247,2019;2020;2021;2022;2023;2024;2025
PA,biomass,Medium diameter,138623729.18434626,6634975.411696066,4.786320098828581,544,2019;2020;2021;2022;2023;2024;2025
PA,biomass,Small diameter,22661003.21963007,1986053.570272895,8.764190848146027,251,2019;2020;2021;2022;2023;2024;2025
PA,biomass,Nonstocked,309919.3642242616,90641.062225296,29.246659837526952,17,2019;2020;2021;2022;2023;2024;2025
PA,growth,Large diameter,544419040.3469298,24994608.123562496,4.59106061162643,2069,2019;2020;2021;2022;2023;2024;2025
PA,growth,Medium diameter,160966543.35012344,11665597.86847938,7.247218972147004,490,2019;2020;2021;2022;2023;2024;2025
PA,growth,Small diameter,18291871.2283521,4606077.498232681,25.181007676750628,210,2019;2020;2021;2022;2023;2024;2025
PA,growth,Nonstocked,-963951.0654874274,1575588.6644281836,-163.4511046088712,19,2019;2020;2021;2022;2023;2024;2025
PA,removals,Large diameter,286347087.2791189,24851747.666466925,8.67888963097519,239,2019;2020;2021;2022;2023;2024;2025
PA,removals,Medium diameter,27261064.549410857,7041786.225774635,25.83092899036041,31,2019;2020;2021;2022;2023;2024;2025
PA,removals,Small diameter,75825468.19062242,16882846.325315908,22.265403337666253,53,2019;2020;2021;2022;2023;2024;2025
PA,removals,Nonstocked,5769788.1561323535,3977699.460246559,68.9401300811869,6,2019;2020;2021;2022;2023;2024;2025
PA,sawlog,Large diameter,134484280256.83368,2335265924.713732,1.7364601425935562,2206,2019;2020;2021;2022;2023;2024;2025
PA,sawlog,Medium diameter,6078831147.670673,382040625.5063836,6.284771138161593,413,2019;2020;2021;2022;2023;2024;2025
PA,sawlog,Small diameter,1006666397.6528882,145471920.37387314,14.45085687900688,97,2019;2020;2021;2022;2023;2024;2025
PA,sawlog,Nonstocked,8743751.999549244,5294506.504354048,60.55188327192936,4,2019;2020;2021;2022;2023;2024;2025
PA,area,Large diameter,12620509.099321404,145839.08197012384,1.1555720995277876,2259,2019;2020;2021;2022;2023;2024;2025
PA,area,Medium diameter,2654425.45484512,115537.46105841803,4.352635363992899,556,2019;2020;2021;2022;2023;2024;2025
PA,area,Small diameter,1220619.6521193243,80023.5230811992,6.555975314853961,273,2019;2020;2021;2022;2023;2024;2025
PA,area,Nonstocked,102887.35643134025,19492.038527241555,18.94502804166143,37,2019;2020;2021;2022;2023;2024;2025
RI,volume,Large diameter,1198716585.511855,79843467.53555894,6.66074604294105,105,2019;2020;2021;2022;2023;2024;2025
RI,volume,Medium diameter,127619070.42561238,30780104.81471942,24.11873453714018,23,2019;2020;2021;2022;2023;2024;2025
RI,volume,Small diameter,5374987.408817207,3627057.7481577294,67.4803022274592,5,2019;2020;2021;2022;2023;2024;2025
